nombre,categoria,precio,marca,precio_anterior,referencia,etiqueta,stock,descripcion_secciones,especificaciones,info_marca
AMD Ryzen 5 5600,Procesador,2200,AMD,,100-100000927BOX,,25,"Descripción general | AMD Ryzen 5 5600: Procesador confiable de 6 núcleos, ideal para gaming 1080p y uso general. || Rendimiento y arquitectura | El AMD Ryzen 5 5600 ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador AMD es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=AM4; Núcleos=6 / Hilos - 12; Frecuencia=3.5-4.4 GHz; TDP=65W; Caché L3=32MB || General: Marca=AMD; Categoría=Procesador; Garantía=12 meses,"AMD es líder mundial en procesadores y tarjetas gráficas de alto rendimiento. Reconocida por su arquitectura Zen y RDNA, ofrece excelente relación precio-rendimiento para gaming y productividad profesional."
Intel Core i5-12400F,Procesador,2650,Intel,,BX8071512400F,,22,"Descripción general | Intel Core i5-12400F: Excelente relación precio-rendimiento para armar tu primera PC gamer. || Rendimiento y arquitectura | El Intel Core i5-12400F ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador Intel es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=LGA1700; Núcleos=6 / Hilos - 12; Frecuencia=2.5-4.4 GHz; TDP=65W || General: Marca=Intel; Categoría=Procesador; Garantía=12 meses,Intel es pionera en la industria de los semiconductores y uno de los mayores fabricantes de procesadores del mundo. Sus CPUs Core son el estándar en computadoras de escritorio y portátiles a nivel global.
Intel Core i5-13400F,Procesador,3400,Intel,,BX8071513400F,,20,"Descripción general | Intel Core i5-13400F: 10 núcleos híbridos (P+E) para gaming fluido y multitarea. || Rendimiento y arquitectura | El Intel Core i5-13400F ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador Intel es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=LGA1700; Núcleos=10 (6P+4E) / Hilos - 16; Frecuencia=2.5-4.6 GHz; TDP=65W || General: Marca=Intel; Categoría=Procesador; Garantía=12 meses,Intel es pionera en la industria de los semiconductores y uno de los mayores fabricantes de procesadores del mundo. Sus CPUs Core son el estándar en computadoras de escritorio y portátiles a nivel global.
Intel Core i5-14400F,Procesador,3700,Intel,,BX8071514400F,EN STOCK,18,"Descripción general | Intel Core i5-14400F: Refresco de la generación 13 con ligeras mejoras de frecuencia. || Rendimiento y arquitectura | El Intel Core i5-14400F ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador Intel es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=LGA1700; Núcleos=10 (6P+4E) / Hilos - 16; Frecuencia=2.5-4.7 GHz; TDP=65W || General: Marca=Intel; Categoría=Procesador; Garantía=12 meses,Intel es pionera en la industria de los semiconductores y uno de los mayores fabricantes de procesadores del mundo. Sus CPUs Core son el estándar en computadoras de escritorio y portátiles a nivel global.
Intel Core i5-14600K,Procesador,5600,Intel,,BX8071514600K,,14,"Descripción general | Intel Core i5-14600K: Desbloqueado para overclocking, ideal para gaming en 1440p. || Rendimiento y arquitectura | El Intel Core i5-14600K ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador Intel es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=LGA1700; Núcleos=14 (6P+8E) / Hilos - 20; Frecuencia=3.5-5.3 GHz; TDP=125W || General: Marca=Intel; Categoría=Procesador; Garantía=12 meses,Intel es pionera en la industria de los semiconductores y uno de los mayores fabricantes de procesadores del mundo. Sus CPUs Core son el estándar en computadoras de escritorio y portátiles a nivel global.
Intel Core i7-13700K,Procesador,8200,Intel,,BX8071513700K,,10,"Descripción general | Intel Core i7-13700K: 16 núcleos híbridos para gaming de alto nivel y producción de contenido. || Rendimiento y arquitectura | El Intel Core i7-13700K ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador Intel es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=LGA1700; Núcleos=16 (8P+8E) / Hilos - 24; Frecuencia=3.4-5.4 GHz; TDP=125W || General: Marca=Intel; Categoría=Procesador; Garantía=12 meses,Intel es pionera en la industria de los semiconductores y uno de los mayores fabricantes de procesadores del mundo. Sus CPUs Core son el estándar en computadoras de escritorio y portátiles a nivel global.
Intel Core i7-14700K,Procesador,8900,Intel,,BX8071514700K,HOT,9,"Descripción general | Intel Core i7-14700K: Más núcleos E que su predecesor, gran opción para streaming + gaming. || Rendimiento y arquitectura | El Intel Core i7-14700K ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador Intel es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=LGA1700; Núcleos=20 (8P+12E) / Hilos - 28; Frecuencia=3.4-5.6 GHz; TDP=125W || General: Marca=Intel; Categoría=Procesador; Garantía=12 meses,Intel es pionera en la industria de los semiconductores y uno de los mayores fabricantes de procesadores del mundo. Sus CPUs Core son el estándar en computadoras de escritorio y portátiles a nivel global.
Intel Core i9-13900K,Procesador,11800,Intel,,BX8071513900K,,6,"Descripción general | Intel Core i9-13900K: El tope de gama de la generación 13, sin concesiones. || Rendimiento y arquitectura | El Intel Core i9-13900K ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador Intel es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=LGA1700; Núcleos=24 (8P+16E) / Hilos - 32; Frecuencia=3.0-5.8 GHz; TDP=125W || General: Marca=Intel; Categoría=Procesador; Garantía=12 meses,Intel es pionera en la industria de los semiconductores y uno de los mayores fabricantes de procesadores del mundo. Sus CPUs Core son el estándar en computadoras de escritorio y portátiles a nivel global.
Intel Core i9-14900K,Procesador,11450,Intel,,BX8071514900K,HOT,5,"Descripción general | Intel Core i9-14900K: El procesador más rápido de Intel para gaming y workstation. || Rendimiento y arquitectura | El Intel Core i9-14900K ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador Intel es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=LGA1700; Núcleos=24 (8P+16E) / Hilos - 32; Frecuencia=3.2-6.0 GHz; TDP=125W || General: Marca=Intel; Categoría=Procesador; Garantía=12 meses,Intel es pionera en la industria de los semiconductores y uno de los mayores fabricantes de procesadores del mundo. Sus CPUs Core son el estándar en computadoras de escritorio y portátiles a nivel global.
Intel Core Ultra 9 285K,Procesador,13900,Intel,,BX80771285K,NUEVO,4,"Descripción general | Intel Core Ultra 9 285K: Nueva arquitectura Arrow Lake con eficiencia energética mejorada. || Rendimiento y arquitectura | El Intel Core Ultra 9 285K ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador Intel es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=LGA1851; Núcleos=24 (8P+16E) / Hilos - 24; Frecuencia=3.7-5.7 GHz; TDP=125W || General: Marca=Intel; Categoría=Procesador; Garantía=12 meses,Intel es pionera en la industria de los semiconductores y uno de los mayores fabricantes de procesadores del mundo. Sus CPUs Core son el estándar en computadoras de escritorio y portátiles a nivel global.
NVIDIA RTX 4060,Tarjeta Gráfica,6500,MSI,,RTX4060-8G-VENTUS2X,,20,"Descripción general | NVIDIA RTX 4060: Ideal para 1080p alto con DLSS 3 y Frame Generation. || Rendimiento gráfico | La NVIDIA RTX 4060 entrega gráficos fluidos y detallados en los juegos más exigentes. Su GPU permite disfrutar de altas tasas de fotogramas con calidad visual elevada, incluyendo tecnologías modernas de renderizado. || Memoria y conectividad | Cuenta con memoria de video dedicada y múltiples salidas para conectar varios monitores. Su sistema de refrigeración mantiene temperaturas óptimas incluso bajo cargas intensas de gaming. || Casos de uso recomendados | Perfecta para gaming en alta resolución, edición de video, modelado 3D y aplicaciones de inteligencia artificial. Una inversión sólida para quienes buscan rendimiento gráfico de calidad.","Especificaciones gráficas: VRAM=8GB GDDR6; Bus=128-bit; CUDA Cores=3072; Consumo=115W; Salidas=3x DP, 1x HDMI || General: Marca=MSI; Categoría=Tarjeta Gráfica; Garantía=12 meses","MSI es un fabricante taiwanés reconocido por sus componentes gaming de alta calidad: tarjetas gráficas, placas madre y periféricos diseñados para entusiastas y jugadores exigentes."
NVIDIA RTX 4060 Ti,Tarjeta Gráfica,8900,ASUS,,DUAL-RTX4060TI-O8G,,16,"Descripción general | NVIDIA RTX 4060 Ti: Rendimiento sólido en 1440p con buena eficiencia energética. || Rendimiento gráfico | La NVIDIA RTX 4060 Ti entrega gráficos fluidos y detallados en los juegos más exigentes. Su GPU permite disfrutar de altas tasas de fotogramas con calidad visual elevada, incluyendo tecnologías modernas de renderizado. || Memoria y conectividad | Cuenta con memoria de video dedicada y múltiples salidas para conectar varios monitores. Su sistema de refrigeración mantiene temperaturas óptimas incluso bajo cargas intensas de gaming. || Casos de uso recomendados | Perfecta para gaming en alta resolución, edición de video, modelado 3D y aplicaciones de inteligencia artificial. Una inversión sólida para quienes buscan rendimiento gráfico de calidad.","Especificaciones gráficas: VRAM=8GB GDDR6; Bus=128-bit; CUDA Cores=4352; Consumo=160W; Salidas=3x DP, 1x HDMI || General: Marca=ASUS; Categoría=Tarjeta Gráfica; Garantía=12 meses",ASUS es una de las marcas más respetadas en hardware de PC. Su línea ROG (Republic of Gamers) es referente mundial en componentes gaming premium y de alto rendimiento.
NVIDIA RTX 4070,Tarjeta Gráfica,11800,Gigabyte,,GV-N4070EAGLE-12GD,,12,"Descripción general | NVIDIA RTX 4070: El punto dulce para 1440p ultra con ray tracing activado. || Rendimiento gráfico | La NVIDIA RTX 4070 entrega gráficos fluidos y detallados en los juegos más exigentes. Su GPU permite disfrutar de altas tasas de fotogramas con calidad visual elevada, incluyendo tecnologías modernas de renderizado. || Memoria y conectividad | Cuenta con memoria de video dedicada y múltiples salidas para conectar varios monitores. Su sistema de refrigeración mantiene temperaturas óptimas incluso bajo cargas intensas de gaming. || Casos de uso recomendados | Perfecta para gaming en alta resolución, edición de video, modelado 3D y aplicaciones de inteligencia artificial. Una inversión sólida para quienes buscan rendimiento gráfico de calidad.","Especificaciones gráficas: VRAM=12GB GDDR6X; Bus=192-bit; CUDA Cores=5888; Consumo=200W; Salidas=3x DP, 1x HDMI || General: Marca=Gigabyte; Categoría=Tarjeta Gráfica; Garantía=12 meses",Gigabyte es un fabricante líder de placas madre y tarjetas gráficas. Su línea AORUS está orientada al gaming de alto desempeño con diseños robustos y buena disipación.
NVIDIA RTX 4070 Super,Tarjeta Gráfica,13200,MSI,,RTX4070S-12G-GAMINGX,NUEVO,10,"Descripción general | NVIDIA RTX 4070 Super: Versión mejorada del 4070 con más núcleos CUDA. || Rendimiento gráfico | La NVIDIA RTX 4070 Super entrega gráficos fluidos y detallados en los juegos más exigentes. Su GPU permite disfrutar de altas tasas de fotogramas con calidad visual elevada, incluyendo tecnologías modernas de renderizado. || Memoria y conectividad | Cuenta con memoria de video dedicada y múltiples salidas para conectar varios monitores. Su sistema de refrigeración mantiene temperaturas óptimas incluso bajo cargas intensas de gaming. || Casos de uso recomendados | Perfecta para gaming en alta resolución, edición de video, modelado 3D y aplicaciones de inteligencia artificial. Una inversión sólida para quienes buscan rendimiento gráfico de calidad.","Especificaciones gráficas: VRAM=12GB GDDR6X; Bus=192-bit; CUDA Cores=7168; Consumo=220W; Salidas=3x DP, 1x HDMI || General: Marca=MSI; Categoría=Tarjeta Gráfica; Garantía=12 meses","MSI es un fabricante taiwanés reconocido por sus componentes gaming de alta calidad: tarjetas gráficas, placas madre y periféricos diseñados para entusiastas y jugadores exigentes."
